symbol,date,epsActual,epsEstimated,revenueActual,revenueEstimated,lastUpdated,session
JPM,2026-01-13,5.23,4.85,45798000000.0,46166454906.0,2026-01-17,unknown
WMT,2025-11-20,0.62,0.601,179496000000.0,177444408069.0,2026-01-17,unknown
XOM,2025-10-31,1.88,1.82,85294000000.0,86465744162.0,2025-11-03,unknown
AAPL,2025-10-30,1.85,1.78,102466000000.0,102227074560.0,2026-01-17,unknown
JPM,2025-10-14,5.07,4.85,46427000000.0,45467182057.0,2026-01-14,unknown
JNJ,2025-10-14,2.8,2.76,23993000000.0,23755362271.0,2026-01-13,unknown
WMT,2025-08-21,0.68,0.733,177402000000.0,175935107465.0,2025-11-25,unknown
XOM,2025-08-01,1.64,1.57,79477000000.0,80697411038.0,2025-11-03,unknown
AAPL,2025-07-31,1.57,1.44,94036000000.0,89562736363.0,2025-10-31,unknown
JNJ,2025-07-16,2.77,2.68,23743000000.0,22853974217.0,2025-10-14,unknown
JPM,2025-07-15,4.96,4.48,44912000000.0,43812377772.0,2025-10-17,unknown
WMT,2025-05-15,0.61,0.575,165609000000.0,165619785126.0,2025-11-25,unknown
XOM,2025-05-02,1.76,1.75,81058000000.0,86351703669.0,2025-11-03,unknown
AAPL,2025-05-01,1.65,1.63,95359000000.0,94542181546.0,2025-10-28,unknown
JNJ,2025-04-15,2.77,2.58,21893000000.0,21558624324.0,2025-07-14,unknown
JPM,2025-04-11,5.07,4.63,45327000000.0,43993969886.0,2025-10-17,unknown
WMT,2025-02-20,0.66,0.646,180554000000.0,180074350487.0,2025-11-25,unknown
XOM,2025-01-31,1.67,1.77,81058000000.0,86333750492.0,2025-11-03,unknown
AAPL,2025-01-30,2.4,2.36,124300000000.0,124257393152.0,2025-10-28,unknown
JNJ,2025-01-22,2.04,1.99,22520000000.0,22431222793.0,2025-04-24,unknown
JPM,2025-01-15,4.81,3.89,42791000000.0,41949586856.0,2025-10-17,unknown
WMT,2024-11-19,0.58,0.53,169588000000.0,167688841190.0,2025-11-25,unknown
XOM,2024-11-01,1.92,1.88,87792000000.0,89966012027.0,2025-11-03,unknown
AAPL,2024-10-31,1.64,1.6,94930000000.0,94511953345.0,2025-10-28,unknown
JNJ,2024-10-15,2.42,2.21,22471000000.0,22171805511.0,2025-04-24,unknown
JPM,2024-10-11,4.37,4.01,42656000000.0,41426533657.0,2025-10-17,unknown
WMT,2024-08-15,0.67,0.65,169335000000.0,168564515191.0,2025-11-25,unknown
XOM,2024-08-02,2.14,2.01,89986000000.0,93450126536.0,2025-11-03,unknown
AAPL,2024-08-01,1.4,1.35,85777000000.0,84432539529.0,2025-10-28,unknown
JNJ,2024-07-17,2.82,2.71,22447000000.0,22330379614.0,2025-04-24,unknown
WMT,2024-05-16,0.6,0.52,161508000000.0,159567835801.0,2025-11-25,unknown
AAPL,2024-05-02,1.53,1.5,90753000000.0,90366105851.0,2025-10-28,unknown
XOM,2024-04-26,2.06,2.2,80411000000.0,82226063500.0,2025-11-03,unknown
JNJ,2024-04-16,2.71,2.64,21383000000.0,21400951140.0,2025-04-24,unknown
WMT,2024-02-20,0.6,0.55,173388000000.0,170853615528.0,2025-11-25,unknown
XOM,2024-02-02,2.48,2.21,81688000000.0,85234100000.0,2025-11-03,unknown
AAPL,2024-02-01,2.18,2.1,119575000000.0,117986596460.0,2025-10-28,unknown
JNJ,2024-01-23,2.29,2.27,21395000000.0,20990000000.0,2025-04-24,unknown
