symbol,earnings_date,t0_date,t1_date,t2_date,t0_close,t1_close,t2_open,R1,Gap2
JPM,2026-01-13,2026-01-13,2026-01-14,2026-01-15,310.9,307.87,308.47,-0.009745899002894687,0.001948874524961841
WMT,2025-11-20,2025-11-20,2025-11-21,2025-11-24,107.11,105.32,105.36,-0.016711791616095706,0.00037979491074824345
XOM,2025-10-31,2025-10-31,2025-11-03,2025-11-04,114.36,113.76,113.38,-0.005246589716684125,-0.0033403656821379135
AAPL,2025-10-30,2025-10-30,2025-10-31,2025-11-03,271.4,270.37,270.42,-0.0037951363301399477,0.00018493176018052893
JPM,2025-10-14,2025-10-14,2025-10-15,2025-10-16,302.08,305.69,305.35,0.011950476694915224,-0.0011122378880564776
JNJ,2025-10-14,2025-10-14,2025-10-15,2025-10-16,190.85,191.17,191.34,0.0016767094576892738,0.0008892608672910196
WMT,2025-08-21,2025-08-21,2025-08-22,2025-08-25,97.96,96.83,97.0,-0.01153532053899542,0.0017556542393886154
XOM,2025-08-01,2025-08-01,2025-08-04,2025-08-05,109.64,107.37,107.22,-0.02070412258299892,-0.00139703827884885
AAPL,2025-07-31,2025-07-31,2025-08-01,2025-08-04,207.57,202.38,204.51,-0.02500361323890732,0.010524755410613595
JNJ,2025-07-16,2025-07-16,2025-07-17,2025-07-18,164.78,162.98,163.93,-0.010923655783468988,0.005828936065775059
JPM,2025-07-15,2025-07-15,2025-07-16,2025-07-17,286.55,285.82,283.44,-0.002547548420869017,-0.008326919039955194
WMT,2025-05-15,2025-05-15,2025-05-16,2025-05-19,96.35,98.24,96.65,0.01961598339387649,-0.016184853420195378
XOM,2025-05-02,2025-05-02,2025-05-05,2025-05-06,106.21,103.27,103.89,-0.027681009321156136,0.006003679674639439
AAPL,2025-05-01,2025-05-01,2025-05-02,2025-05-05,213.32,205.35,203.1,-0.03736171010688172,-0.010956902848794692
JNJ,2025-04-15,2025-04-15,2025-04-16,2025-04-17,153.62,153.91,154.16,0.0018877750292929374,0.0016243259047494796
JPM,2025-04-11,2025-04-11,2025-04-14,2025-04-15,236.2,234.72,236.1,-0.00626587637595255,0.005879345603271968
WMT,2025-02-20,2025-02-20,2025-02-21,2025-02-24,97.21,94.78,94.18,-0.024997428248122566,-0.006330449461911747
XOM,2025-01-31,2025-01-31,2025-02-03,2025-02-04,106.83,107.09,106.71,0.002433773284657992,-0.003548417219161548
AAPL,2025-01-30,2025-01-30,2025-01-31,2025-02-03,237.59,236.0,229.99,-0.006692200850204166,-0.025466101694915255
JNJ,2025-01-22,2025-01-22,2025-01-23,2025-01-24,145.27,146.64,146.81,0.009430715219935104,0.0011593016912165854
JPM,2025-01-15,2025-01-15,2025-01-16,2025-01-17,252.35,254.27,254.14,0.00760848028531802,-0.0005112675502420005
WMT,2024-11-19,2024-11-19,2024-11-20,2024-11-21,86.6,87.18,87.45,0.006697459584295684,0.0030970406056434197
XOM,2024-11-01,2024-11-01,2024-11-04,2024-11-05,114.95,118.61,119.08,0.0318399304045236,0.0039625663940645595
AAPL,2024-10-31,2024-10-31,2024-11-01,2024-11-04,225.91,222.91,220.99,-0.01327962462927712,-0.008613341707415456
JNJ,2024-10-15,2024-10-15,2024-10-16,2024-10-17,164.1,164.28,164.26,0.00109689213893982,-0.00012174336498671501
JPM,2024-10-11,2024-10-11,2024-10-14,2024-10-15,222.29,221.48,223.66,-0.003643888613972801,0.009842875203178725
WMT,2024-08-15,2024-08-15,2024-08-16,2024-08-19,73.18,73.45,73.39,0.0036895326591963595,-0.0008168822328115111
XOM,2024-08-02,2024-08-02,2024-08-05,2024-08-06,116.88,114.77,114.45,-0.018052703627652322,-0.0027881850657837104
AAPL,2024-08-01,2024-08-01,2024-08-02,2024-08-05,218.36,219.86,199.09,0.006869389998168218,-0.09446920767761302
JNJ,2024-07-17,2024-07-17,2024-07-18,2024-07-19,156.58,155.42,156.51,-0.007408353557287195,0.007013254407412184
WMT,2024-05-16,2024-05-16,2024-05-17,2024-05-20,64.01,64.65,64.42,0.009998437744102473,-0.003557617942768765
AAPL,2024-05-02,2024-05-02,2024-05-03,2024-05-06,173.03,183.38,182.35,0.05981621684101013,-0.0056167520994655495
XOM,2024-04-26,2024-04-26,2024-04-29,2024-04-30,117.96,119.64,119.11,0.014242115971515812,-0.004429956536275537
JNJ,2024-04-16,2024-04-16,2024-04-17,2024-04-18,144.45,144.77,144.98,0.002215299411561178,0.0014505767769563693
WMT,2024-02-20,2024-02-20,2024-02-21,2024-02-22,58.62,57.9,57.96,-0.0122824974411464,0.0010362694300518616
XOM,2024-02-02,2024-02-02,2024-02-05,2024-02-06,101.97,101.55,102.07,-0.004118858487790589,0.00512063023141307
AAPL,2024-02-01,2024-02-01,2024-02-02,2024-02-05,186.86,185.85,188.15,-0.005405116129722942,0.012375571697605725
JNJ,2024-01-23,2024-01-23,2024-01-24,2024-01-25,159.81,158.96,159.0,-0.005318816094111667,0.0002516356316053514
